,Ville,Annee,A1,B1,C1,D1,A2,B2,C2,D2
0,VANVES,2012.0,1359.0,1235.0,343.0,265.0,1437.0,1307.0,556.0,538.0
0,VANVES,2013.0,1363.0,1237.0,279.0,270.0,1471.0,1350.0,516.0,548.0
0,VANVES,2014.0,1366.0,1298.0,442.0,398.0,1469.0,1369.0,514.0,492.0
0,VANVES,2015.0,1398.0,1318.0,346.0,408.0,1481.0,1358.0,492.0,460.0
0,VAUCRESSON,2011.0,1497.0,1202.0,609.0,533.0,1157.0,997.0,458.0,454.0
0,VAUCRESSON,2012.0,1367.0,1111.0,560.0,587.0,1164.0,1015.0,493.0,479.0
0,VAUCRESSON,2013.0,1406.0,1181.0,721.0,655.0,1167.0,1029.0,474.0,502.0
0,VAUCRESSON,2014.0,1280.0,1133.0,435.0,317.0,1159.0,1035.0,442.0,436.0
0,VAUCRESSON,2015.0,1212.0,1047.0,410.0,284.0,1174.0,1049.0,453.0,415.0
0,VILLE-D'AVRAY,2011.0,1356.0,1248.0,405.0,623.0,1313.0,1160.0,473.0,477.0
0,VILLE-D'AVRAY,2012.0,1230.0,1096.0,309.0,514.0,1323.0,1179.0,495.0,483.0
0,VILLE-D'AVRAY,2013.0,1363.0,1286.0,742.0,621.0,1337.0,1204.0,497.0,518.0
0,VILLE-D'AVRAY,2014.0,1063.0,1068.0,389.0,369.0,1337.0,1224.0,483.0,457.0
0,VILLE-D'AVRAY,2015.0,1014.0,984.0,277.0,250.0,1355.0,1223.0,451.0,427.0
0,VILLENEUVE-LA-GARENNE,2011.0,1836.0,2076.0,608.0,626.0,1684.0,1501.0,563.0,552.0
0,VILLENEUVE-LA-GARENNE,2012.0,1843.0,1856.0,574.0,437.0,1743.0,1581.0,562.0,568.0
0,VILLENEUVE-LA-GARENNE,2013.0,1923.0,1871.0,517.0,550.0,1754.0,1590.0,639.0,645.0
0,VILLENEUVE-LA-GARENNE,2014.0,1846.0,1888.0,1266.0,1229.0,1703.0,1575.0,661.0,668.0
0,VILLENEUVE-LA-GARENNE,2015.0,1996.0,1843.0,1285.0,1288.0,1782.0,1617.0,611.0,566.0
