CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,MENFIS10,PMENFIS10,MENIMP10,QUAR1UC10,QUAR2UC10,QUAR3UC10,DEC1UC10,DEC2UC10,DEC3UC10,DEC4UC10,DEC5UC10,DEC6UC10,DEC7UC10,DEC8UC10,DEC9UC10,RDUC10,PTSA10,PPEN10,PBEN10,PAUT10
01213,82,01,011,0117,8201,240100883,Leyment,445,1243.0,,,19490,,,,,,19490,,,,,,,,,
01214,82,01,014,0116,8203,240100701,Leyssard,69,152.0,,,19373,,,,,,19373,,,,,,,,,
01215,82,01,014,0103,8219,240100891,Lhopital,,,,,,,,,,,,,,,,,,,,
01216,82,01,011,0118,8209,240100412,Lhuis,347,814.0,,,19211,,,,,,19211,,,,,,,,,
01218,82,01,011,0109,8216,240100370,Lochieu,,,,,,,,,,,,,,,,,,,,
01219,82,01,011,0118,8201,240100412,Lompnas,73,167.0,,,13869,,,,,,13869,,,,,,,,,
01221,82,01,011,0109,8203,240100370,Lompnieu,55,121.0,,,18943,,,,,,18943,,,,,,,,,
01224,82,01,011,0117,8214,240100883,Loyettes,1039,2758.0,59.5,13431,18586,24523,8771,12299,14655,17021,18586,20726,23403,26529,33504,3.8,72.6,18.9,4.5,4.0
01225,82,01,012,0130,8213,240100727,Lurcy,142,412.0,,,22848,,,,,,22848,,,,,,,,,
01227,82,01,011,0104,8216,240100354,Magnieu,184,440.0,,,20021,,,,,,20021,,,,,,,,,
01228,82,01,014,0122,8203,240100909,Maillat,254,652.0,,,20285,,,,,,20285,,,,,,,,,
01229,82,01,012,0121,8202,240100156,Malafretaz,371,979.5,,,20188,,,,,,20188,,,,,,,,,
01230,82,01,012,0129,8202,240100339,Mantenay-Montlin,120,294.5,,,16748,,,,,,16748,,,,,,,,,
01231,82,01,012,0102,0053,240100818,Manziat,755,1962.5,,,19440,,,,,,19440,,,,,,,,,
01232,82,01,012,0111,8202,240100651,Marboz,903,2107.5,59.9,14737,19140,26405,11295,13861,15654,17324,19140,21316,24589,28666,35203,3.1,63.1,25.8,3.8,7.2
01233,82,01,011,0118,8209,240100412,Marchamp,62,133.0,,,18916,,,,,,18916,,,,,,,,,
01234,82,01,011,0136,8216,240100354,Marignieu,69,163.0,,,18423,,,,,,18423,,,,,,,,,
01235,82,01,012,0135,8213,240100875,Marlieux,337,867.5,,,19792,,,,,,19792,,,,,,,,,
01236,82,01,012,0121,8202,240100156,Marsonnas,379,984.0,,,18967,,,,,,18967,,,,,,,,,
01237,82,01,014,0141,8203,240100172,Martignat,585,1651.0,,,19135,,,,,,19135,,,,,,,,,
01238,82,01,012,0142,8213,240100602,Massieux,872,2448.0,74.9,17910,23718,31307,13264,16654,19089,21029,23718,26000,28716,33589,40903,3.1,69.6,20.4,4.6,5.4
01239,82,01,011,0104,8216,240100354,Massignieu-de-Rives,246,633.0,,,20091,,,,,,20091,,,,,,,,,
01240,82,01,014,0116,8203,240100701,Matafelon-Granges,260,658.0,,,19627,,,,,,19627,,,,,,,,,
