,exe_spe,departement,dep_mon,densite
787,11,27,1874,3.2
788,11,28,1659,3.0
789,11,29,1079,4.2
790,11,3,948,2.3
791,11,30,1988,4.1
792,11,31,3026,6.4
793,11,32,717,1.6
794,11,33,3439,6.0
795,11,34,2301,7.4
796,11,35,2066,3.9
797,11,36,886,3.5
798,11,37,1839,4.5
799,11,38,3277,3.7
800,11,39,1301,2.3
801,11,4,1064,4.9
802,11,40,1526,3.7
803,11,41,1070,3.9
804,11,42,1687,4.5
805,11,43,771,2.6
806,11,44,2450,4.1
807,11,45,2062,3.4
808,11,46,562,4.0
809,11,47,1229,2.1
810,11,48,247,1.3
811,11,49,1730,3.3
812,11,5,605,6.4
813,11,50,1752,2.4
814,11,51,1551,3.8
815,11,52,943,2.8
816,11,53,830,3.2
817,11,54,1819,4.7
818,11,55,770,3.7
819,11,56,1307,4.0
820,11,57,2763,3.7
821,11,58,1306,2.8
822,11,59,6322,4.1
823,11,6,3300,7.5
824,11,60,2367,2.6
825,11,61,543,3.5
826,11,62,2399,2.2
827,11,63,2153,3.2
828,11,64,2741,4.8
829,11,65,575,4.8
830,11,66,1280,5.1
831,11,67,3262,5.3
832,11,68,2832,4.2
833,11,69,4042,5.6
834,11,7,1428,4.6
835,11,70,617,1.7
836,11,71,1368,2.5
837,11,72,1283,3.7
838,11,73,1819,5.1
839,11,74,2558,3.4
840,11,75,8557,13.9
841,11,76,3003,5.5
842,11,77,3238,3.4
843,11,78,4982,5.4
844,11,79,997,2.1
845,11,8,817,2.2
846,11,80,1584,4.0
847,11,81,1150,4.4
848,11,82,1438,3.9
849,11,83,3383,5.8
850,11,84,2346,5.4
851,11,85,1479,2.2
852,11,86,1563,4.6
853,11,87,706,4.0
854,11,88,952,3.8
855,11,89,1288,2.3
856,11,9,573,3.3
857,11,90,602,4.1
858,11,91,3555,3.8
859,11,92,6258,5.9
860,11,93,3635,4.4
861,11,94,4422,6.3
862,11,95,3987,4.7
863,11,97,8619,2.66
864,12,1,704,10.6
865,12,10,284,10.1
866,12,11,208,15.1
867,12,12,88,17.3
868,12,13,1897,34.4
869,12,14,664,21.3
870,12,15,41,9.6
871,12,16,134,13.8
872,12,17,479,14.7
873,12,18,266,12.8
874,12,19,111,12.6
875,12,2,463,12.1
876,12,20,726,17.55
877,12,21,292,22.9
878,12,22,191,14.5
879,12,23,48,17.6
880,12,24,384,12.9
881,12,25,466,21.1
882,12,26,500,16.8
883,12,27,548,10.2
884,12,28,639,10.8
885,12,29,305,22.3
886,12,3,119,14.5
887,12,30,803,17.2
888,12,31,884,28.5
889,12,32,168,16.2
890,12,33,1257,34.1
891,12,34,839,28.8
892,12,35,378,20.9
893,12,36,138,11.1
894,12,37,659,25.1
895,12,38,1164,23.4
896,12,39,202,14.3
897,12,4,181,16.0
898,12,40,323,12.6
899,12,41,394,16.5
900,12,42,531,17.6
