product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Haselnusskerne,Fruits à coque,,,,,,,,,,,,,
Noisettes entières,Fruits à coque,,,,,,,,,,,,,
Spaghetti,Egg,,,,,,,,,,,,,
Pistaches de Californie grillées à sec et salées ,arachide,fruits à coques,,,,,,,,,,,,
Lait noisettes entières,fruits à coque,soja,céréales,gluten,,,,,,,,,,
Tablette chocolat,Fruits à coque,Soja,,,,,,,,,,,,
Dark chocolate &quot;Fin Carré&quot; 50% cocoa,Milch,Soja,Schalenfrüchten,,,,,,,,,,,
Caramelos de eucalipto y mentol &quot;Nord Fresh&quot;,Leche,,,,,,,,,,,,,
Tartines craquantes au froment,Gluten,Lait,,,,,,,,,,,,
4 Muffins cacao avec pépites de chocolat,lait,fruits à coque,arachide,,,,,,,,,,,
Vinaigre balsamique de Modène,sulfites,,,,,,,,,,,,,
Sirop de grenadine ,sulfites,,,,,,,,,,,,,
tiramisu,Soja,Fruits à coque,,,,,,,,,,,,
Assiette de charcuterie - 250 g - Saint Alby,soja,,,,,,,,,,,,,
cookies biscuits,arachide,,,,,,,,,,,,,
Tartelettes,fruits à coque,soja,,,,,,,,,,,,
Dark chocolate &quot;Bellarom&quot; 74% cocoa,Milch,Soja,Schalenfrüchten,,,,,,,,,,,
Noir dessert ,Fruits à coque,Soja,Lait,,,,,,,,,,,
Freeway cola,sulfites,,,,,,,,,,,,,
Burgundy style cooked snails with a garlic filling,Celery,,,,,,,,,,,,,
20 crêpes Jambon Fromage,poisson,crustacés,mollusques,céleri,moutarde,,,,,,,,,
Ravioli 100 % Volaille - 800 g ,Blé,Lait,oeuf,,,,,,,,,,,
Cassoulet - 840 g ,gluten,céleri,moutarde,soja,lait,,,,,,,,,
Petits pains grillés froment,arachides,fruits à coque,lait,oeufs,sésame,soja,,,,,,,,
Gaufrettes roulées chocolat noir,soja,,,,,,,,,,,,,
Esparguete,ovo,,,,,,,,,,,,,
Aceitunas verdes partidas aliñadas a la gazpacha &quot;Baresa&quot;,Anhídrido sulfuroso,,,,,,,,,,,,,
Vollmilch schokolade am Stiel,Gluten,Fruit à coque,,,,,,,,,,,,
Aceitunas verdes enteras &quot;Baresa&quot; Variedad Gordal,Sulfitos,Almendras,,,,,,,,,,,,
Runde braune lebkuchen,Fruits à coque,Arachides,,,,,,,,,,,,
Herbes de Provence,Celery,Mustard,,,,,,,,,,,,
Pasteles de Gloria &quot;DOR&quot;,Huevo,,,,,,,,,,,,,
Galletas - Aros de chocolate &quot;Morenazos&quot;,Leche,,,,,,,,,,,,,
Espirais,ovo,,,,,,,,,,,,,
Mini saucissons secs Noix pur porc - 75 g - Le Césarin,Fruits à coque,,,,,,,,,,,,,
Mini chorizo doux pur porc - 75 g - Le Césarin,Fruits à coque,,,,,,,,,,,,,
Mini saucissons secs Nature pur porc - 75 g - Le Césarin,Fruits à coque,,,,,,,,,,,,,
alesto cashewkerne,fruits à coque,arachides,,,,,,,,,,,,
amandes entières,Fruits à coque,,,,,,,,,,,,,
Chicken pâté,mustard,nuts,peanuts,,,,,,,,,,,
Surtido de encurtidos &quot;Baresa&quot;,Dióxido de azufre,,,,,,,,,,,,,
Gaufres de Liège choco,Lait,,,,,,,,,,,,,
Spécial sandwich nature,Lait,Soja,,,,,,,,,,,,
10 petits pains au lait,soja,fruits à coque,,,,,,,,,,,,
Quenelles de veau sauce Financière (x 6) - 400 g,Blé,Lait,Oeuf,,,,,,,,,,,
Préparation pour pain paysan,lait,oeuf,,,,,,,,,,,,
SugarLand - Bonbons Fraises,lait,gluten,,,,,,,,,,,,
Saumon Atlantique fumé bio,fumé au bois de hêtre,,,,,,,,,,,,,
Sol & Mar olives noires dénoyautées,amandes,,,,,,,,,,,,,
"Mini Chocolate cakes, cake fourré à la crème de cacao",fruits à coque,arachide,,,,,,,,,,,,
Condimento rosso,sulphites,,,,,,,,,,,,,
Préparation pour pain aux graines de tournesol,lait,oeufs,,,,,,,,,,,,
Biscuits Petit Déjeuner Céréales & chocolat,oeuf,arachide,fruits à coque,,,,,,,,,,,
Filet de colin à la méditerranéenne,lactose,lait,produits laitiers,,,,,,,,,,,
Galettes Bretonnes,Arachides,Soja,Fruits à coque,,,,,,,,,,,
Crème dessert chocolat,soja,,,,,,,,,,,,,
Chips salées ,Blé,Soja,Produits laitiers,Céleri,,,,,,,,,,
Tableta de chocolate negro &quot;J.D. Gross&quot; Ecuador 70% cacao,Avellanas,Almendras,Leche,,,,,,,,,,,
Mini tabletas de chocolate negro &quot;J.D. Gross&quot; Venezuela 56% cacao,Avellanas,Almendras,Leche,,,,,,,,,,,
Mini tabletas de chocolate negro &quot;J.D. Gross&quot; Trinidad 75% cacao,Avellanas,Almendras,Leche,,,,,,,,,,,
Pains chocolat x5,blé,oeuf,lait,arachide,soja,fruits à coques,sésame,moutarde,céleri,anhydride sulfureux,poisson,crustacé,lupin,mollusque
45 mini-apéritifs surgelés,gluten,Oeuf,Lait,Poisson,Arachide,Céleri,Crustacés,Fruits à coque,Lupin,Mollusque,Moutarde,Soja,Sésame,
Part baked white baguette rolls ,wheat,gluten,,,,,,,,,,,,
Tortitas de arroz con chocolate negro ecológicas &quot;Biotrend&quot;,Leche,Frutos secos,,,,,,,,,,,,
Galletas saladas &quot;SnackDay&quot;,Sésamo,Leche,Soja,,,,,,,,,,,
Spaghetti ,gluten,wheat,egg,,,,,,,,,,,
Cookies,Arachide,,,,,,,,,,,,,
Petit Beurre,Oeufs,Fruits à coque,,,,,,,,,,,,
pain au chocolat x5,produits laitiers,amandes,oeufs,dérivés de soja,,,,,,,,,,
Lait et chocolat,fruits à coques,gluten,,,,,,,,,,,,
Speculoos,lait,soja,,,,,,,,,,,,
Medaillon Classic,fruits à coque,arachide,sésame,,,,,,,,,,,
Petits pains grillés au blé complet,Arachide,Fruits à coque,Lait,Oeuf,Soja,,,,,,,,,
Gaufrettes fourrées lait-noisettes Favorini,fruits à coque,,,,,,,,,,,,,
Sandwich Poulet crudités - Pain de mie complet,lait,crustacé,poisson,,,,,,,,,,,
"Biscuits Petit Déjeuner Céréales, lait, & pépites de chocolat",oeuf,arachide,fruits à coque,,,,,,,,,,,
Lasagnes à la bolognaise,soja,,,,,,,,,,,,,
Chili con carne,soja,céleri,moutarde,,,,,,,,,,,
