id,sku,old_price,price,brand,title
270,AUC5054292840238,27.99,27.99,dell,Dell XPS 11 Chargeur batterie pour ordinateur port
271,AUC5052177071357,27.99,27.99,dell,Dell Latitude CS Chargeur batterie pour ordinateur
272,AUC5052177071241,27.99,27.99,dell,Dell Latitude CP Chargeur batterie pour ordinateur
273,AUC5052177070923,27.99,27.99,dell,Dell 5316 Chargeur batterie pour ordinateur portab
274,AUC5052177071142,27.99,27.99,dell,Dell Inspiron 7500 Chargeur batterie pour ordinate
275,AUC5052177070961,27.99,27.99,dell,Dell 4983D Chargeur batterie pour ordinateur porta
276,AUC5052177071111,27.99,27.99,dell,Dell Inspiron 4000 Chargeur batterie pour ordinate
277,AUC5052177071289,27.99,27.99,dell,Dell Latitude CPT Chargeur batterie pour ordinateu
278,AUC5052177071166,27.99,27.99,dell,Dell Inspiron 8100 Chargeur batterie pour ordinate
279,AUC5052177432356,27.99,27.99,dell,Dell Inspiron 1300 Chargeur batterie pour ordinate
280,AUC5052177071432,27.99,27.99,dell,Dell Latitude XPI Chargeur batterie pour ordinateu
281,AUC5052177071029,27.99,27.99,dell,Dell OR334 Chargeur batterie pour ordinateur porta
282,AUC5052177070992,27.99,27.99,dell,Dell 81407 Chargeur batterie pour ordinateur porta
